Monday	Tiuesday	Wednesday	Thursday	Friday	Saturday
Week 1					
				Bench @ 45 12345-8	Lateral Raise
				Incline Bench @ 45 12-8 345-6	Curl Machine
				Butterfly @100 12-8 345-10	Tricep Machine
				Decline Bench @45 123-8 45-6	Hammer Curls @ 30
					superset
					Single Overhead Ext @ 30
					
					
Week 2					
Seated Shoulder Press @25 1234-8	Leg Ext @120 1234-8	Lat Pulldown @100 1234-8	Butterfly @130 12345-8	Curl M @41kg 1234-10	Rear Delt @50 123456-8
Superset	Leg Curl @60 1234-8	Reat Delt @40 12345-8	Bench @ 45 12345-8	Tricep M 1@120-18 2345@130-10	Ab Twist @110 123456-10
Shrugs @45 1234-12	Leg Press @180 1234-6	V Bar Row 1@110 23@120-8 4@130-8 5@140-8	Incline Bench @ 45 12-8 3-7 4-6 5-5	Ab M @120 1234-12	Ab M @110 123456-15
Lateral Raise Machine @50 1234-12	Hip Thrust @112 1234-8	Straight bar pulldown @110 1234-8	Decline Bench @45 12-8 34-7 5-6	Hammer Curls @30 12345-8	
Front DB Raise @20 1234-10	Abs @110 1234-15	Low Row @70 1234-8		Superset	
superset		Ab Twist @100 1234-10		Ind Tricep Ext @30 12345-8	
DB Shoulder Press @20 12-12 34-8				Wide DB Curl @20 12-10 34-8	
Ab Machine @100 1234-15				Superset	
				Db Ext @60 1234-8	
					
Week 3					
Shoulder Press @25 12-9 34-8	Leg curl @70 1234-8	Rear delt @60 1234-10		Butterfly @140 1-8 234-7	Hammer curls @30 1234-8
Superset	Leg press @180 1234-8	V bar row @140 1234-8		Incline bench @45 1234-8	Superset
Shrugs @45 123456-12	Leg ext @150 1234-8	Straight bar pulldown @120 1234-8		Ab M @130 1234-15	Ind Db ext @30 1234-10
Lateral Raise M @60 1234-12	Hip thrust @112 1-10 234-8	Ab twist @130 1234-10		Decline bench @45 1234-8	Wide curl @20 1234-10
Front DB Raise @20 1234-10	Ab twist @120 1234-10	Lat pulldown @110 1234-8		Bench @45 123-8 4-7	Superset
Superset		Low row @90 1234-6			Db ext @60 12-10
DB Press @20 1234-10					
Ab M @120 12-15 34-12					
					
Week 4					
					
Shoulder press @25 12-8 34-9	Tired day, feeling off	Lat pulldown @130 1238-8	Ab twist @140 1234-10	Hammer curls @30 1234-10	
Superset	Leg ext @160 1234-8	Rear delt @70 1234-10	Low cable fly 1@25-12 2@30-10 34@35-8	Superset	
Shrug @45 1234-15	Leg curl @80 12-8 3-7 4-6	V bar row @150 1234-8	Bench @45 12-10 34-8	Ind Db ext @30 1234-12	
